date,delay,origin_city_name,dest_city_name,origin_weather,dest_weather
2018-02-10,-17.0,"Dallas-Fort Worth, TX","St. Louis, MO",Overcast,Overcast
2018-08-22,-8.0,"San Antonio, TX","Dallas, TX",Clear,Partially cloudy
2019-12-08,-6.0,"Los Angeles, CA","Las Vegas, NV","Rain, Partially cloudy",Partially cloudy
2018-05-08,-13.0,"Lubbock, TX","Dallas-Fort Worth, TX",Partially cloudy,Clear
2019-05-09,47.0,"Charlotte, NC","Birmingham, AL","Rain, Partially cloudy","Rain, Partially cloudy"
2019-11-08,-5.0,"Washington, DC","Manchester, NH",Partially cloudy,Partially cloudy
2018-04-22,-28.0,"Louisville, KY","Phoenix, AZ",Partially cloudy,Partially cloudy
2018-02-14,-17.0,"Las Vegas, NV","Atlanta, GA","Rain, Partially cloudy",Overcast
2018-03-01,-8.0,"Los Angeles, CA","Seattle, WA",Partially cloudy,"Rain, Partially cloudy"
2018-06-12,-8.0,"Atlanta, GA","Fort Lauderdale, FL",Partially cloudy,"Rain, Partially cloudy"
2018-09-18,103.0,"Washington, DC","New York, NY","Rain, Partially cloudy","Rain, Partially cloudy"
2019-11-23,-17.0,"Boise, ID","Seattle, WA",Clear,Partially cloudy
2019-03-09,-8.0,"Phoenix, AZ","Cincinnati, OH",Partially cloudy,"Rain, Overcast"
2018-11-29,-28.0,"Baltimore, MD","Charlotte, NC",Partially cloudy,Partially cloudy
2018-04-02,-10.0,"Orlando, FL","Baltimore, MD","Rain, Partially cloudy","Rain, Overcast"
2019-08-04,-1.0,"Hilo, HI","Honolulu, HI","Rain, Partially cloudy",Partially cloudy
2018-12-04,-14.0,"Nashville, TN","Baltimore, MD",Overcast,Partially cloudy
2018-04-20,-10.0,"Dallas-Fort Worth, TX","Omaha, NE",Clear,Partially cloudy
2019-11-22,26.0,"Seattle, WA","Spokane, WA",Partially cloudy,Partially cloudy
2019-02-05,-24.0,"Boston, MA","Raleigh-Durham, NC",Partially cloudy,Partially cloudy
2018-04-27,0.0,"Burbank, CA","Las Vegas, NV",Partially cloudy,Clear
2018-11-27,-8.0,"Honolulu, HI","Kahului, HI","Rain, Partially cloudy",Partially cloudy
2019-02-17,-6.0,"Seattle, WA","Bozeman, MT",Partially cloudy,"Snow, Partially cloudy"
2018-01-02,44.0,"Washington, DC","Charleston, SC",Clear,Clear
2018-11-14,-17.0,"Atlanta, GA","Madison, WI","Rain, Overcast",Clear
2018-01-17,2.0,"Dayton, OH","Chicago, IL",Partially cloudy,Partially cloudy
2018-06-10,29.0,"New York, NY","Pittsburgh, PA",Partially cloudy,"Rain, Partially cloudy"
2018-01-28,-13.0,"Tampa, FL","Birmingham, AL","Rain, Partially cloudy","Rain, Overcast"
